ema1_period,ema2_period,ema3_period,total_return,annualized_return,max_drawdown,volatility,sharpe_ratio,sortino_ratio,information_ratio,tail_ratio,deflated_sharpe_ratio,ulcer_index,total_trades,win_rate,profit_factor,expectancy,avg_win_amount,avg_loss_amount,payoff_ratio,trades_per_year
13,89,196,-0.4816598863866507,-0.17484795242407802,-0.7268629422884172,0.5310670366441718,-0.09304150440525165,-0.13091122097326374,,,,0.5036366428145821,10,20.0,0.6631448885076846,-0.039453327542637265,0.38834608117734026,0.14640317972263164,2.6525795540307384,2.021306032097399
13,89,199,-0.4816598863866507,-0.17484795242407802,-0.7268629422884172,0.5310670366441718,-0.09304150440525165,-0.13091122097326374,,,,0.5036366428145821,10,20.0,0.6631448885076846,-0.039453327542637265,0.38834608117734026,0.14640317972263164,2.6525795540307384,2.021306032097399
13,92,100,-0.5147090420637953,-0.190595327040733,-0.7532967750144531,0.5174982493434453,-0.14593932701887788,-0.20312545100664092,,,,0.5282187087397975,11,18.181818181818183,0.6750218454703879,-0.03816265200446481,0.43597832296641026,0.14352731310910372,3.0375983046167456,2.223436635307139
13,92,103,-0.625637266083086,-0.24975732305848508,-0.7774836293552303,0.511779382927926,-0.3012843829753266,-0.4146492982490542,,,,0.5289509425580383,12,16.666666666666664,0.5763981852403425,-0.05340093403412213,0.43597832296641026,0.15127678543422862,2.8819909262017123,2.4255672385168787
13,92,106,-0.6072431768975929,-0.23915848379382876,-0.7665504204750417,0.5099358983842683,-0.27678700426692593,-0.38175588394501675,,,,0.531585479483051,12,16.666666666666664,0.5925887441483078,-0.04995664582951933,0.4359783229664103,0.14714363958870524,2.962943720741539,2.4255672385168787
13,92,109,-0.6116322799099845,-0.24165508411493786,-0.7488738330663247,0.5184439683213186,-0.27057006968917147,-0.37583292433740806,,,,0.5060074940234044,12,16.666666666666664,0.5892841784027556,-0.050644267988857704,0.4359783229664102,0.1479687861799113,2.9464208920137778,2.4255672385168787
13,92,112,-0.4875009110320362,-0.17757834750388624,-0.728494612143505,0.5241924320008499,-0.10748749987093781,-0.1510155241677233,,,,0.5076888511940109,11,18.181818181818183,0.7000601763241519,-0.033962602784875014,0.43597832296641026,0.13839391961849398,3.150270793458683,2.223436635307139
13,92,115,-0.3315862606194304,-0.11114406263679955,-0.7284946121435047,0.5491805777223424,0.059214901019002446,0.08717376131188437,,,,0.50737950549138,11,27.27272727272727,0.9194668737855776,-0.008527192309917471,0.35697599842090505,0.14559088883397592,2.451911663428207,2.223436635307139
13,92,118,-0.2597647867079503,-0.08421223703317549,-0.7132415209740351,0.554029024883969,0.11746497070038,0.1729607253109067,,,,0.4916700061738116,11,27.27272727272727,0.9876924294103551,-0.001213160319737437,0.35697599842090516,0.13553409484747841,2.633846478427613,2.223436635307139
13,92,121,-0.3141603556020338,-0.10442831217336057,-0.7116864282613078,0.556075510627003,0.07899935186888729,0.11593800838232876,,,,0.48854232240023104,11,27.27272727272727,0.9404155465254727,-0.006168516725887782,0.35697599842090516,0.14234770990593515,2.5077747907345938,2.223436635307139
13,92,124,-0.29558815780638603,-0.09740240492133379,-0.7061016617385247,0.5561515172117953,0.09311611006211905,0.1366842383433347,,,,0.4791201385479129,11,27.27272727272727,0.9615454776317482,-0.0038935448198784747,0.35697599842090516,0.1392196235351723,2.564121273684662,2.223436635307139
