rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,8,20,0.15,3,0.4274697295347414,0.15000141173812334,0.12988863997155028,0.0604943761440877,0.00588143907216665,0.0025033955494726686,2.3493846481454175,-0.0028013978362394394,0.02306171520808875,0.0028371298926725963,0.0024750697998559513,1.14628278072712,-0.003811917510778144
200,4,80,0.1,3,0.45807763730687845,0.100025893281514,0.08070586249577445,0.03969474350655733,0.0038941087150103915,0.001589121564953034,2.450478805959367,-0.0017163075115522015,0.015924042776710445,0.001965066036835994,0.0017145678742990042,1.1460998810790184,-0.002534459254697327
400,4,40,0.1,3,0.4591821844011701,0.10000127982808632,0.08258253621274547,0.038255314082896286,0.0037552559938232033,0.0015901632163586607,2.361553804786418,-0.0020164496424138756,0.01537142861234786,0.0018973253794010159,0.0016558037712640016,1.1458636659298356,-0.00268830593763026
200,6,20,0.1,3,0.46196823825498534,0.10000008265449685,0.08214590170492433,0.03741633081752882,0.003674244589350728,0.0016952993830834995,2.167313116499706,-0.0022967477353107372,0.015850200524916813,0.0019560161596408054,0.0017076049595005612,1.1454734590445903,-0.0024063668369357365
200,6,80,0.1,4,0.46027360865523403,0.09999973158920132,0.07862217949490163,0.03893622799615426,0.003820961068083717,0.0016006384257604082,2.3871481570039843,-0.00172135487833343,0.015486413879017391,0.001911423185445793,0.001668681232127159,1.1454693374894602,-0.002611799738343453
400,6,80,0.2,4,0.3834342129356173,0.2000005882391815,0.1750695700148833,0.08215629068403674,0.007914201869678283,0.0031361421732327235,2.5235469033345366,-0.003095634813649101,0.031887953174897454,0.003908160581625797,0.003414691707091392,1.1445134486107789,-0.005047793212257194
400,6,40,0.2,3,0.38766180758943847,0.19999985904100834,0.17756931088262354,0.07803413617603727,0.007530216421037794,0.0030110865411962706,2.5008302876761968,-0.0032976348345349297,0.030550555666475798,0.003746389407274897,0.0032738516224624973,1.1443369582085612,-0.005167791442811058
200,8,40,0.15,3,0.4265036956694439,0.14999904866184996,0.12762379603791416,0.05784321714153973,0.005630091587858432,0.0023838296767114573,2.361784335039096,-0.0025484106139957614,0.023811966499469595,0.002928484088848604,0.0025600350724032735,1.143923425275359,-0.00408539808550593
400,8,80,0.15,4,0.4236122373346096,0.14999811492645312,0.1270250974796661,0.06118971591099909,0.0059472682686438905,0.0023422452856227695,2.5391312793538603,-0.0023050693810429054,0.024507496949613516,0.003013122860010764,0.0026342273462390438,1.1438355403578508,-0.0037759831117315356
400,6,20,0.15,2,0.4255110091779807,0.1499997159972299,0.12789802905847847,0.0684697796312963,0.006634164820687571,0.0031845136085930517,2.0832584300428247,-0.0029819477887599232,0.024753096383236306,0.0030429977175381318,0.0026608098005529188,1.1436359400456937,-0.003966070465740595
400,6,40,0.1,2,0.46148860539545233,0.10000036024427797,0.08052142117690489,0.04462750297751672,0.0043686320773563825,0.0022274375370928117,1.9612815195070283,-0.0021534147243471593,0.016919856416845125,0.0020870536338584156,0.0018266842938348487,1.1425365844017636,-0.002733493688601761
200,4,80,0.15,3,0.4226269144549678,0.15000174443593337,0.12789836335982935,0.060204680890803663,0.005854001581124368,0.0023095748528710624,2.5346663148185837,-0.002369430881091931,0.02378097033068416,0.002924711007844971,0.00256028700150035,1.1423371700637726,-0.0037630154660000504
200,6,80,0.2,4,0.3834769814784249,0.20000091013770893,0.17384447449892848,0.08189614386166855,0.00789000772428916,0.003159979392305202,2.496854170474007,-0.0031246079354968815,0.03142479008116639,0.003852157316332816,0.003372383697241766,1.1422654306754747,-0.005114482971895662
200,4,40,0.1,2,0.4597352041522661,0.10000006260923523,0.08073775181837173,0.0439457879379086,0.004303172477778894,0.001965576271881134,2.189267615476752,-0.002177727473783751,0.016501914724351252,0.002035868342536773,0.0017852894611996312,1.1403575648560456,-0.003010253356844186
400,8,20,0.2,3,0.38837254163080615,0.20000143239844095,0.17877002963284294,0.08198895626426217,0.007898640053690675,0.003241456639294607,2.436756351431419,-0.0034114557653050497,0.030499069022536185,0.0037401579249238814,0.0032801719235546847,1.1402322841879322,-0.005022803898230233
400,8,40,0.2,3,0.3877235333860063,0.19999996189115254,0.17779059256632151,0.07893087726885062,0.007613861671979416,0.003093421456204544,2.4613075779597136,-0.003251108315669883,0.030951282857954565,0.003794880521532873,0.003329952472988091,1.1396200253055218,-0.005219840822364159
400,6,80,0.15,3,0.4227599823535002,0.15000044135225943,0.12749678718835486,0.0615335618449484,0.005979806499767593,0.0023779525790298462,2.5146870263524033,-0.002332998209467095,0.024112558844039178,0.0029650692055438466,0.0026031523263904473,1.1390302347981442,-0.003899356529256646
200,4,40,0.2,2,0.38738604683062483,0.20000015451858047,0.17660372054516563,0.08503740765156542,0.008181801687330958,0.0035616082072919618,2.297221145936184,-0.003378781165379095,0.031464626512706984,0.0038569749953929477,0.003386684580772784,1.1388645453698707,-0.005321732376275612
400,8,20,0.2,4,0.3888131950233127,0.2000007292929742,0.1784976081054566,0.08051764246057669,0.007761717030645432,0.0031565182670822154,2.458948871479244,-0.0033703828653700854,0.030787772910429112,0.003775096536968059,0.003322403141921874,1.1362548058464454,-0.004803002827675015
200,6,40,0.15,2,0.4253155102789514,0.1500003987208048,0.12777883571172038,0.0654461941235458,0.006349393239785339,0.00299697233392278,2.1186025536226847,-0.0027969036758501084,0.024885707891546316,0.003059126051532468,0.0026927367770413746,1.136065759421781,-0.004046082530700067
400,8,40,0.2,4,0.38769918998888,0.19999864632599726,0.17747457108000692,0.07808953083010417,0.007535385278637063,0.003007455964958965,2.5055679505983655,-0.003306347987671333,0.030965240811161587,0.003796569245186898,0.003342785798682717,1.1357500820671795,-0.0051482054852932686
400,4,80,0.2,2,0.3833857333661672,0.19999861364296762,0.1755429255612354,0.08715011572946496,0.008377625061136929,0.003695898732068679,2.266735554317469,-0.003129087695119551,0.032217994352384816,0.003948054008632518,0.0034772383762049328,1.1353992972266211,-0.005036459998745282
400,8,80,0.1,4,0.46120185898401356,0.09999831861979253,0.07972055560512958,0.03927347791280322,0.003853489787657871,0.0015814149354527708,2.436735420457243,-0.0016039869785897027,0.016190196842075233,0.0019976802737309285,0.001761374709713705,1.1341597348446275,-0.002423012476918653
400,8,80,0.1,3,0.4597822371197525,0.09999921744810271,0.07997847696916219,0.039764388785059834,0.0039008225680967623,0.0016279880690875997,2.3961002185249214,-0.0015921521420925284,0.01661382739826367,0.0020495760868066704,0.0018079971090254434,1.1336169049028204,-0.0026402996675173825
200,8,20,0.15,4,0.4289721318624561,0.15000147737692007,0.12770931888502454,0.057606125796414664,0.005607586140049303,0.002387780199453531,2.3484515623894775,-0.0026745545479860727,0.02323403396934043,0.0028581174404791465,0.002522923467707117,1.1328593502983508,-0.00338688379215171
200,4,80,0.2,2,0.3835391407013685,0.20000256889827095,0.17592824539111318,0.08752576664061418,0.008412407640865815,0.003666092954533088,2.2946520301575974,-0.0031265792450897506,0.032452640981950776,0.003976409912959777,0.0035106601849304066,1.13266727723424,-0.005000367700249295
200,6,40,0.1,4,0.4628531017401384,0.09999843583571984,0.07933849759834066,0.03543236727567178,0.0034824401381310377,0.0016185997926550044,2.15151401472674,-0.001998074673628826,0.014863212690730432,0.0018349986502310678,0.0016221881803802826,1.1311872891349122,-0.0025216071295875125
400,8,80,0.2,4,0.3836867741871992,0.19999862195339643,0.1749462677443267,0.08264951656719921,0.007960058438097883,0.0031481801723120787,2.528463430430628,-0.003029771861022304,0.03201607658345473,0.003923648708798577,0.0034745953395529778,1.1292390409132858,-0.004989093757440426
200,6,40,0.2,3,0.3877593667725615,0.20000303882817175,0.17726329607972605,0.07753727552916079,0.007483843819158231,0.003023214774762282,2.475458866380637,-0.0033660413858352623,0.030216959678704525,0.0037060090954224023,0.003283090734939642,1.1288171405017642,-0.0052607322055990375
