asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,train_annualized_turnover,train_annual_costs,test_trades,test_annualized_turnover,test_annual_costs,subtrain_sharpe,val_sharpe,selection_score,view_q
amznususd,481,288,193,28,107,154,1.0315244431135098,0.4100683210100917,0.3507816003042106,-0.26670212661653264,3,6.125,0.006125,1,2.61139896373057,0.0026113989637305698,1.6855647911189413,-0.18755368077007242,-1.1241129167145794,0.3507816003042106
hwmususd,455,273,182,4,167,151,1.0251510325943445,0.2843559371054416,0.25986781788244606,-0.1399946566924926,2,4.615384615384616,0.004615384615384616,1,4.153846153846154,0.004153846153846154,1.082591343017483,1.6850352044055803,1.3838132737115316,0.25986781788244606
axtaususd,437,262,175,16,98,100,1.0202782467420017,0.48783324769840397,0.4654405982112473,-0.1900002414234316,2,3.847328244274809,0.003847328244274809,2,5.76,0.00576,1.3413559448229646,-2.1578974739088377,-3.907524183274739,0.4654405982112473
isrgususd,691,414,277,4,95,100,1.0109899738433743,0.7016205301224108,0.3820543808056083,-0.20793287844694872,5,6.695652173913044,0.006695652173913045,5,10.007220216606497,0.0100072202166065,0.8507732623915782,2.8485968460853632,1.8496850542384706,0.3820543808056083
mckususd,1158,694,464,4,143,103,1.010561482817058,0.9492376361269945,0.2742466385007396,-0.153992939303672,8,6.172910662824208,0.006172910662824211,1,1.6293103448275863,0.0016293103448275863,0.37240756427683985,2.343332782268773,1.3578701732728065,0.2742466385007396
cvxususd,439,263,176,10,137,136,1.0069498304390856,0.8125292288822505,0.7679998477588124,-0.16626347322556462,5,9.581749049429657,0.009581749049429659,5,14.318181818181818,0.014318181818181822,-0.22078216063036635,1.7043084649828741,0.7417631521762539,0.7679998477588124
vow3deeur,603,361,242,10,191,181,1.0006091308197658,0.9256378417389575,0.5799757510859092,-0.2948608628935313,3,4.188365650969529,0.0041883656509695295,3,6.24793388429752,0.00624793388429752,1.2592148172607074,-1.6987152467542055,-3.177680278761662,0.5799757510859092
eqhususd,460,276,184,4,155,151,0.9847166417215442,0.35265241455593577,0.3175852227160363,-0.16343629018683714,3,5.478260869565217,0.005478260869565217,1,2.739130434782609,0.002739130434782609,0.5598236985815326,4.0359629442922325,2.2978933214368826,0.3175852227160363
jpmususd,945,567,378,7,89,148,0.9662735407582043,0.514822700471079,0.20270966799270984,-0.1914953387266824,8,7.111111111111111,0.007111111111111114,3,4.666666666666667,0.004666666666666667,1.3503663662300693,0.20797785499698748,-0.3632164006195534,0.20270966799270984
aosususd,520,312,208,7,164,106,0.9647478603284441,0.36389278582386164,0.28487522997823644,-0.23758819583723753,5,8.076923076923077,0.008076923076923079,7,16.961538461538463,0.01696153846153847,1.1627691986462205,2.163362668382032,1.6630659335141265,0.28487522997823644
twgbgbx,583,349,234,28,155,100,0.9475873981629223,0.25439128642309616,0.17780895384478979,-0.09560389795541843,4,5.776504297994269,0.00577650429799427,1,3.230769230769231,0.0032307692307692306,1.1499378834400225,1.3340094687984438,1.2419736761192333,0.17780895384478979
abcususd,950,570,380,16,188,196,0.9353608753551025,0.8156625720869182,0.3017296565757459,-0.1713997041099843,7,6.631578947368421,0.006631578947368424,2,3.3157894736842106,0.0033157894736842108,0.7811482316383632,1.6993111495375124,1.2402296905879377,0.3017296565757459
lgengbgbx,484,290,194,25,131,109,0.9241039104600424,0.4466772009903106,0.3783433735314887,-0.23379497378412636,3,6.082758620689655,0.006082758620689656,1,2.5979381443298966,0.0025979381443298967,0.3285556744270744,-0.36941044762906183,-0.7183935086571299,0.3783433735314887
fltususd,620,372,248,25,188,187,0.9160256632113791,0.3787651512357453,0.24306382387281333,-0.22649917227323693,3,4.741935483870967,0.004741935483870968,5,10.161290322580646,0.010161290322580648,1.4205730665819178,2.7162137382143046,2.068393402398111,0.24306382387281333
rostususd,402,241,161,10,176,103,0.9081231611312113,0.25516948267988204,0.26825755787869654,-0.17074601813272328,5,10.45643153526971,0.010456431535269711,1,4.695652173913044,0.004695652173913044,0.9736575214135834,-0.41969961238213666,-1.1163781792799967,0.26825755787869654
hesususd,1211,726,485,4,197,118,0.9065184426712255,2.6148850692298384,0.5621356726614963,-0.3899443389450683,11,7.983471074380166,0.00798347107438017,18,18.70515463917526,0.01870515463917527,1.1275030808723299,1.1939924789211334,1.1607477798967316,0.5621356726614963
azngbgbx,404,242,162,10,107,100,0.8596699776816321,0.14924257644688144,0.15586751587014414,-0.05105790010534372,2,4.165289256198347,0.004165289256198347,2,6.222222222222221,0.006222222222222222,1.0909714420038437,-0.3792243265866326,-1.1143222108818707,0.15586751587014414
